timestamp,quantity,bidding_zone,data_type,zone_code,zone_name,country
2024-01-03 03:00:00+00:00,6100.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 04:00:00+00:00,6086.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 05:00:00+00:00,6102.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 06:00:00+00:00,6146.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 07:00:00+00:00,6155.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 08:00:00+00:00,6230.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 09:00:00+00:00,6285.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 10:00:00+00:00,6371.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 11:00:00+00:00,6449.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 12:00:00+00:00,6521.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 13:00:00+00:00,6651.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 14:00:00+00:00,6812.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 15:00:00+00:00,6877.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 16:00:00+00:00,6998.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 17:00:00+00:00,7043.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 18:00:00+00:00,7060.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 19:00:00+00:00,7116.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
2024-01-03 20:00:00+00:00,7127.0,10YAT-APG------L,actual_load,10YAT-APG------L,Austria,AT
