date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2024-01-01,2.3,-1.7,0.9,48.2082,16.3738,AT-VIE,Vienna,17.1,0,AT,Austria
2024-01-02,2.9,-0.1,1.2,48.2082,16.3738,AT-VIE,Vienna,16.8,0,AT,Austria
2024-01-03,1.6,-3.1,-0.3,48.2082,16.3738,AT-VIE,Vienna,18.3,0,AT,Austria
2024-01-04,3.5,-3.4,0.3,48.2082,16.3738,AT-VIE,Vienna,17.7,0,AT,Austria
2024-01-05,6.7,0.6,3.0,48.2082,16.3738,AT-VIE,Vienna,15.0,0,AT,Austria
2024-01-06,7.9,1.2,3.5,48.2082,16.3738,AT-VIE,Vienna,14.5,0,AT,Austria
2024-01-07,4.6,-0.1,2.2,48.2082,16.3738,AT-VIE,Vienna,15.8,0,AT,Austria
2024-01-08,1.5,-3.2,-0.1,48.2082,16.3738,AT-VIE,Vienna,18.1,0,AT,Austria
2024-01-09,1.5,-3.5,-0.7,48.2082,16.3738,AT-VIE,Vienna,18.7,0,AT,Austria
2024-01-10,2.3,-0.8,1.0,48.2082,16.3738,AT-VIE,Vienna,17.0,0,AT,Austria
2024-01-11,5.3,0.2,2.1,48.2082,16.3738,AT-VIE,Vienna,15.9,0,AT,Austria
2024-01-12,4.6,0.2,2.5,48.2082,16.3738,AT-VIE,Vienna,15.5,0,AT,Austria
2024-01-13,7.5,1.4,3.9,48.2082,16.3738,AT-VIE,Vienna,14.1,0,AT,Austria
2024-01-14,6.3,1.4,3.8,48.2082,16.3738,AT-VIE,Vienna,14.2,0,AT,Austria
2024-01-15,9.0,1.1,4.3,48.2082,16.3738,AT-VIE,Vienna,13.7,0,AT,Austria
2024-01-16,10.1,3.8,7.0,48.2082,16.3738,AT-VIE,Vienna,11.0,0,AT,Austria
2024-01-17,7.4,2.2,4.5,48.2082,16.3738,AT-VIE,Vienna,13.5,0,AT,Austria
2024-01-18,5.7,-0.1,2.6,48.2082,16.3738,AT-VIE,Vienna,15.4,0,AT,Austria
2024-01-19,6.3,-1.8,2.1,48.2082,16.3738,AT-VIE,Vienna,15.9,0,AT,Austria
2024-01-20,6.4,0.4,3.1,48.2082,16.3738,AT-VIE,Vienna,14.9,0,AT,Austria
2024-01-21,10.4,1.7,5.3,48.2082,16.3738,AT-VIE,Vienna,12.7,0,AT,Austria
2024-01-22,9.0,1.3,4.1,48.2082,16.3738,AT-VIE,Vienna,13.9,0,AT,Austria
2024-01-23,9.1,1.2,4.5,48.2082,16.3738,AT-VIE,Vienna,13.5,0,AT,Austria
2024-01-24,10.4,1.9,5.0,48.2082,16.3738,AT-VIE,Vienna,13.0,0,AT,Austria
2024-01-25,9.0,-0.3,4.7,48.2082,16.3738,AT-VIE,Vienna,13.3,0,AT,Austria
2024-01-26,2.4,-4.4,-1.0,48.2082,16.3738,AT-VIE,Vienna,19.0,0,AT,Austria
2024-01-27,2.8,-4.4,-0.3,48.2082,16.3738,AT-VIE,Vienna,18.3,0,AT,Austria
2024-01-28,4.7,-3.1,0.8,48.2082,16.3738,AT-VIE,Vienna,17.2,0,AT,Austria
2024-01-29,9.2,2.9,6.4,48.2082,16.3738,AT-VIE,Vienna,11.6,0,AT,Austria
2024-01-30,9.9,2.1,6.1,48.2082,16.3738,AT-VIE,Vienna,11.9,0,AT,Austria
2024-01-31,9.7,0.6,4.8,48.2082,16.3738,AT-VIE,Vienna,13.2,0,AT,Austria
2024-02-01,7.0,1.1,4.2,48.2082,16.3738,AT-VIE,Vienna,13.8,0,AT,Austria
2024-02-02,11.0,2.8,6.0,48.2082,16.3738,AT-VIE,Vienna,12.0,0,AT,Austria
2024-02-03,8.5,0.8,4.4,48.2082,16.3738,AT-VIE,Vienna,13.6,0,AT,Austria
2024-02-04,6.3,-0.2,2.6,48.2082,16.3738,AT-VIE,Vienna,15.4,0,AT,Austria
2024-02-05,3.4,-3.0,0.4,48.2082,16.3738,AT-VIE,Vienna,17.6,0,AT,Austria
2024-02-06,5.7,-1.2,1.5,48.2082,16.3738,AT-VIE,Vienna,16.5,0,AT,Austria
2024-02-07,6.7,-2.3,1.7,48.2082,16.3738,AT-VIE,Vienna,16.3,0,AT,Austria
