date,temperature_max,temperature_min,temperature_mean,latitude,longitude,subzone_code,subzone_name,heating_degree_days,cooling_degree_days,country_code,zone_name
2024-01-02,6.9,1.9,3.8,45.3271,14.4422,HR-RIJ,Rijeka,14.2,0,HR,Croatia
2023-12-30,17.3,10.1,13.2,35.1856,33.3823,CY-NIC,Nicosia,4.800000000000001,0,CY,Cyprus
2023-12-31,16.1,7.1,11.7,35.1856,33.3823,CY-NIC,Nicosia,6.300000000000001,0,CY,Cyprus
2024-01-01,11.7,5.5,8.7,35.1856,33.3823,CY-NIC,Nicosia,9.3,0,CY,Cyprus
2024-01-02,10.9,5.7,8.0,35.1856,33.3823,CY-NIC,Nicosia,10.0,0,CY,Cyprus
2023-12-30,17.5,12.6,14.6,34.6751,33.0392,CY-LIM,Limassol,3.4000000000000004,0,CY,Cyprus
2023-12-31,16.1,9.6,13.0,34.6751,33.0392,CY-LIM,Limassol,5.0,0,CY,Cyprus
2024-01-01,13.3,8.3,10.3,34.6751,33.0392,CY-LIM,Limassol,7.699999999999999,0,CY,Cyprus
2024-01-02,12.1,6.5,9.2,34.6751,33.0392,CY-LIM,Limassol,8.8,0,CY,Cyprus
2023-12-30,18.2,12.7,14.2,34.9086,33.629,CY-LAR,Larnaca,3.8000000000000007,0,CY,Cyprus
2023-12-31,16.2,9.9,13.0,34.9086,33.629,CY-LAR,Larnaca,5.0,0,CY,Cyprus
2024-01-01,12.9,7.6,10.1,34.9086,33.629,CY-LAR,Larnaca,7.9,0,CY,Cyprus
2024-01-02,12.0,7.4,9.1,34.9086,33.629,CY-LAR,Larnaca,8.9,0,CY,Cyprus
2023-12-30,-2.4,-9.4,-6.3,50.0755,14.4378,CZ-PRG,Prague,24.3,0,CZ,Czech Republic
2023-12-31,1.5,-6.7,-2.5,50.0755,14.4378,CZ-PRG,Prague,20.5,0,CZ,Czech Republic
2024-01-01,2.5,-3.1,0.5,50.0755,14.4378,CZ-PRG,Prague,17.5,0,CZ,Czech Republic
2024-01-02,2.2,-0.3,1.0,50.0755,14.4378,CZ-PRG,Prague,17.0,0,CZ,Czech Republic
2023-12-30,-2.6,-8.9,-6.3,49.1951,16.6068,CZ-BRN,Brno,24.3,0,CZ,Czech Republic
2023-12-31,-0.1,-8.3,-4.3,49.1951,16.6068,CZ-BRN,Brno,22.3,0,CZ,Czech Republic
2024-01-01,3.0,-3.4,0.9,49.1951,16.6068,CZ-BRN,Brno,17.1,0,CZ,Czech Republic
2024-01-02,3.4,-0.2,1.7,49.1951,16.6068,CZ-BRN,Brno,16.3,0,CZ,Czech Republic
2023-12-30,-4.3,-10.1,-7.4,49.8209,18.2625,CZ-OST,Ostrava,25.4,0,CZ,Czech Republic
2023-12-31,-2.3,-8.8,-5.4,49.8209,18.2625,CZ-OST,Ostrava,23.4,0,CZ,Czech Republic
2024-01-01,1.8,-4.7,0.3,49.8209,18.2625,CZ-OST,Ostrava,17.7,0,CZ,Czech Republic
2024-01-02,1.3,-7.1,-1.8,49.8209,18.2625,CZ-OST,Ostrava,19.8,0,CZ,Czech Republic
2023-12-30,-0.6,-3.9,-2.4,55.6761,12.5683,DK-COP,Copenhagen,20.4,0,DK,Denmark
2023-12-31,4.6,-3.3,1.0,55.6761,12.5683,DK-COP,Copenhagen,17.0,0,DK,Denmark
2024-01-01,4.6,1.9,3.5,55.6761,12.5683,DK-COP,Copenhagen,14.5,0,DK,Denmark
2024-01-02,5.6,1.4,3.6,55.6761,12.5683,DK-COP,Copenhagen,14.4,0,DK,Denmark
2023-12-30,-0.9,-3.9,-2.7,56.1629,10.2039,DK-AAR,Aarhus,20.7,0,DK,Denmark
2023-12-31,6.0,-3.1,2.3,56.1629,10.2039,DK-AAR,Aarhus,15.7,0,DK,Denmark
2024-01-01,6.8,2.1,4.2,56.1629,10.2039,DK-AAR,Aarhus,13.8,0,DK,Denmark
2024-01-02,7.2,2.5,4.8,56.1629,10.2039,DK-AAR,Aarhus,13.2,0,DK,Denmark
2023-12-30,-0.4,-2.8,-1.9,57.0488,9.9217,DK-AAL,Aalborg,19.9,0,DK,Denmark
2023-12-31,7.5,-2.4,3.3,57.0488,9.9217,DK-AAL,Aalborg,14.7,0,DK,Denmark
